titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo,ejes_semanticos,activadores,sin_eje,activadores_eje
"Perú: la minería ilegal acecha el área de conservación Panguana, símbolo de la supervivencia en la Amazonía",9 Sep 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/09/mineria-ilegal-acecha-panguana-amazonia-peru/,2025-09-09,2025,9,9,17,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['amazonía', 'conservación', 'área'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
Investigación de Mongabay Latam sobre desembarco ilegal de aletas de tiburón llega al Congreso y fiscalía en Perú,5 Sep 2025,Cristina Fernández Aguilar,https://es.mongabay.com/2025/09/investigacion-mongabay-desembarco-ilegal-aletas-tiburon-llega-congreso-fiscalia-peru/,2025-09-05,2025,9,5,18,"['politica_gobernabilidad', 'crimen_ilegalidad']","{'politica_gobernabilidad': ['congreso', 'fiscalía'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
Embarcaciones japonesas desembarcaron ilegalmente en Perú más de 17 000 kilos de aletas de tiburón,2 Sep 2025,Cristina Fernández Aguilar,https://es.mongabay.com/2025/09/embarcaciones-japonesas-desembarcaron-ilegalmente-aletas-tiburon-peru/,2025-09-02,2025,9,2,15,['crimen_ilegalidad'],{'crimen_ilegalidad': ['ilegalmente']},False,ilegalmente
La minería ilegal de oro avanza en nueve regiones amazónicas de Perú | ESTUDIO,27 Ago 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/08/mineria-ilegal-oro-avanza-regiones-amazonicas-peru/,2025-08-27,2025,8,27,14,['crimen_ilegalidad'],{'crimen_ilegalidad': ['ilegal']},False,ilegal
¿Cómo se lava el oro ilegal en el sistema financiero de Estados Unidos?,27 Ago 2025,Mongabay Latam,https://es.mongabay.com/podcast/2025/08/como-se-lava-el-oro-ilegal-en-el-sistema-financiero-de-estados-unidos-podcast/,2025-08-27,2025,8,27,13,"['politica_gobernabilidad', 'crimen_ilegalidad']","{'politica_gobernabilidad': ['estados'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
Caso Saweto: ratifican sentencia de 28 años de prisión contra madereros por el asesinato de cuatro líderes indígenas de Perú,26 Ago 2025,Geraldine Santos,https://es.mongabay.com/2025/08/caso-saweto-ratifican-prision-contra-madereros-asesinato-lideres-indigenas-peru/,2025-08-26,2025,8,26,20,"['politica_gobernabilidad', 'sociedad_comunidades', 'crimen_ilegalidad']","{'politica_gobernabilidad': ['sentencia'], 'sociedad_comunidades': ['indígena', 'líder'], 'crimen_ilegalidad': ['asesinato']}",False,asesinato
Bloqueo en el río Tigre de Perú: comunidades indígenas aseguran que la presencia de dragas de minería ilegal está creciendo,25 Ago 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/08/bloqueo-rio-tigre-peru-dragas-mineria-ilegal/,2025-08-25,2025,8,25,20,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['río'], 'sociedad_comunidades': ['comunidad', 'indígena'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
Defensores ambientales criminalizados en Perú: informe revela 370 casos entre 2000 y 2024,11 Ago 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/08/defensores-ambientales-peru-criminalizados/,2025-08-11,2025,8,11,13,['crimen_ilegalidad'],{'crimen_ilegalidad': ['criminalizado']},False,criminalizado
"¿Quién era Hipólito Quispe Huamán, el defensor ambiental asesinado en Perú?",6 Ago 2025,Mongabay Latam,https://es.mongabay.com/podcast/2025/08/quien-era-hipolito-quispe-huaman-el-defensor-ambiental-asesinado-en-peru/,2025-08-06,2025,8,6,11,['crimen_ilegalidad'],{'crimen_ilegalidad': ['asesinado']},False,asesinado
Asesinato del defensor Quispe Huamán: resurgen críticas al mecanismo de protección en Perú y piden proteger a la familia,4 Ago 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/08/asesinato-defensor-quispe-huaman-peru/,2025-08-04,2025,8,4,19,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['protección', 'proteger'], 'sociedad_comunidades': ['familia'], 'crimen_ilegalidad': ['asesinato']}",False,asesinato
Minería ilegal en Latinoamérica devasta la Amazonía y pone en riesgo a comunidades enteras | Cinco expertos explican este problema social y ambiental,3 Ago 2025,Mongabay Latam,https://es.mongabay.com/2025/08/mineria-ilegal-latinoamerica-devasta-amazonia-comunidades/,2025-08-03,2025,8,3,23,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['amazonía'], 'sociedad_comunidades': ['comunidad', 'social'], 'crimen_ilegalidad': ['ilegal']}",False,ilegal
