titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo,ejes_semanticos,activadores,sin_eje,activadores_eje
"Comunidades en resistencia, deforestación y narcotráfico en Perú, tráfico de caballitos de mar y más",3 Oct 2021,Mongabay Latam,https://es.mongabay.com/2021/10/comunidades-en-resistencia-deforestacion-y-narcotrafico-en-peru-trafico-de-caballitos-de-mar-y-mas/,2021-10-03,2021,10,3,15,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['deforestación', 'mar'], 'sociedad_comunidades': ['comunidad'], 'crimen_ilegalidad': ['tráfico']}",False,"deforestación, mar"
Catoteni: la comunidad ashéninka que defiende a la reserva El Sira de la tala ilegal y el narcotráfico,1 Oct 2021,"Douglas Tangoa, Vanessa Romo",https://es.mongabay.com/2021/10/catoteni-comunidad-asheninka-tala-ilegal-narcotrafico-peru/,2021-10-01,2021,10,1,18,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['reserva'], 'sociedad_comunidades': ['comunidad'], 'crimen_ilegalidad': ['ilegal']}",False,reserva
Comunidades en resistencia: acorraladas por la ilegalidad y la violencia en la Amazonía peruana,30 Sep 2021,Yvette Sierra Praeli,https://es.mongabay.com/2021/09/comunidades-acorraladas-por-ilegalidad-violencia-peru/,2021-09-30,2021,9,30,14,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['amazonía'], 'sociedad_comunidades': ['comunidad'], 'crimen_ilegalidad': ['ilegalidad', 'violencia']}",False,amazonía
Cotuhe: concesión para conservación en Perú pierde 374 hectáreas en zona presionada por narcotráfico,27 Sep 2021,Gloria Alvitres,https://es.mongabay.com/2021/09/cotuhe-concesion-para-conservacion-deforestacion-narcotrafico-peru/,2021-09-27,2021,9,27,14,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['conservación']},False,conservación
Perú: más de 12 mil hectáreas de deforestación y 9 pistas de aterrizaje para narcotráfico en Ucayali,22 Sep 2021,Enrique Vera,https://es.mongabay.com/2021/09/peru-deforestacion-pistas-de-aterrizaje-narcotrafico-ucayali/,2021-09-22,2021,9,22,17,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['deforestación']},False,deforestación
En video | Extraordinarias especies que han escapado de la extinción en Latinoamérica,19 Sep 2021,Mongabay Latam,https://es.mongabay.com/2021/09/en-video-extraordinarias-especies-que-han-escapado-de-la-extincion-en-latinoamerica/,2021-09-19,2021,9,19,13,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['especie', 'extinción']}",False,"especie, extinción"
"Defensores ambientales en peligro, ballenas y cambio climático, tráfico de madera y más",17 Sep 2021,Mongabay Latam,https://es.mongabay.com/2021/09/defensores-ambientales-ballenas-cambio-climatico/,2021-09-17,2021,9,17,13,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['cambio', 'climático'], 'crimen_ilegalidad': ['tráfico']}",False,"cambio, climático"
En video | La metodología científica que ayudó a proteger 6 millones de hectáreas de bosque en Perú,17 Sep 2021,Mongabay Latam,https://es.mongabay.com/2021/09/video-metodologia-cientifica-conservacion-bosques-peru/,2021-09-17,2021,9,17,18,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['bosque', 'proteger']}",False,"bosque, proteger"
La ruta de la deforestación en Madre de Dios: “Los madereros han rodeado mi concesión»,14 Sep 2021,Guillermo Reaño,https://es.mongabay.com/2021/09/deforestacion-madre-de-dios-territorios-indigenas-shihuahuacos-tala-ilegal-peru/,2021-09-14,2021,9,14,15,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['deforestación']},False,deforestación
En video | Los secretos de la asombrosa biodiversidad de tres áreas protegidas de Latinoamérica,12 Sep 2021,Mongabay Latam,https://es.mongabay.com/2021/09/video-biodiversidad-areas-protegidas-latinoamerica/,2021-09-12,2021,9,12,15,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['biodiversidad', 'protegido', 'área']}",False,"biodiversidad, protegido, área"
