titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo
¿Qué amenazas enfrentan las áreas protegidas recién creadas en el Perú?  | PODCAST,4 Oct 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/10/que-amenazas-enfrentan-las-areas-protegidas-recien-creadas-en-el-peru-podcast/,2025-10-04,2025,10,4,13
El Foro de Ministros de Ambiente finalizó con compromisos por el agua y la reducción de emisiones de metano,3 Oct 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/10/balance-foro-ministros-ambiente-declaracion-de-lima/,2025-10-03,2025,10,3,19
Emergencia en el Nanay: un sobrevuelo revela más de 45 dragas de mineros ilegales en el río amazónico y sectores de bosque peruano,2 Oct 2025,Enrique Vera,https://es.mongabay.com/2025/10/sobrevuelo-revela-dragas-mineros-ilegales-rio-nanay-peru/,2025-10-02,2025,10,2,23
¿Qué bancos financian la expansión petrolera en ecosistemas clave de América Latina y el Caribe? | INFORME,1 Oct 2025,Iván Paredes Tamayo,https://es.mongabay.com/2025/10/bancos-financian-expansion-petrolera-ecosistemas-america-latina-el-caribe/,2025-10-01,2025,10,1,17
Estos son los bancos extranjeros que financian la expansión petrolera en Latinoamérica | PODCAST,1 Oct 2025,Mongabay Latam,https://es.mongabay.com/podcast/2025/10/estos-son-los-bancos-extranjeros-que-financian-la-expansion-petrolera-en-latinoamerica-podcast/,2025-10-01,2025,10,1,14
¿Cuáles son los países con mayor pérdida de bosque nativo en Latinoamérica?,30 Sep 2025,Mongabay Latam,https://es.mongabay.com/video/2025/09/cuales-son-los-paises-con-mayor-perdida-de-bosque-nativo-en-latinoamerica/,2025-09-30,2025,9,30,12
Soluciones climáticas en Latinoamérica,29 Sep 2025,Mongabay Latam,https://es.mongabay.com/specials/2025/09/soluciones-climaticas-en-latinoamerica/,2025-09-29,2025,9,29,4
"Páramos, manglares, humedales, turberas y pastos marinos: los héroes invisibles contra la crisis climática",29 Sep 2025,Mongabay Latam,https://es.mongabay.com/2025/09/paramos-manglares-humedales-turberas-pastos-marinos-heroes-invisibles-contra-crisis-climatica/,2025-09-29,2025,9,29,14
Cumbre de ministros de Ambiente: los representantes de Latinoamérica y el Caribe se reúnen en Lima para tomar decisiones políticas y ambientales,29 Sep 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/09/cumbre-ministros-ambiente-latinoamerica-caribe/,2025-09-29,2025,9,29,22
Al borde del abismo: tres asombrosas aves sobreviven en medio de graves amenazas | Coyuntura ambiental,27 Sep 2025,Mongabay Latam,https://es.mongabay.com/2025/09/asombrosas-aves-sobreviven-amenazas/,2025-09-27,2025,9,27,16
¿Cómo trabajan los científicos de Perú para conservar los humedales? | PODCAST,27 Sep 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/09/conservacion-humedales-amazonia-peru/,2025-09-27,2025,9,27,12
Perú: los ríos y bosques de Datem del Marañón están siendo invadidos por la minería ilegal,26 Sep 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/09/peru-rios-bosques-datem-maranon-invadidos-mineria-ilegal/,2025-09-26,2025,9,26,16
"“Se puede ver cómo se están moviendo los árboles, cómo las aves están cambiando de distribución por el cambio climático” | ENTREVISTA",25 Sep 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/09/efectos-cambio-climatico-biodiversidad-amazonia-entrevista-corine-vriesendorp/,2025-09-25,2025,9,25,22
¿Cuáles son las dos empresas chinas que comercializan algas sin licencia industrial en Perú? | PODCAST,24 Sep 2025,Mongabay Latam,https://es.mongabay.com/podcast/2025/09/cuales-son-las-dos-empresas-chinas-que-comercializan-algas-sin-licencia-industrial-en-peru-podcast/,2025-09-24,2025,9,24,16
Sin permiso para operar: las dos empresas chinas que lideran el mercado de algas en Perú no tienen licencia industrial,23 Sep 2025,Elizabeth Salazar Vega,https://es.mongabay.com/2025/09/empresas-chinas-algas-peru-sin-licencia-industrial/,2025-09-23,2025,9,23,20
Investigación de Mongabay Latam destapa  tráfico ilegal de tiburones en puertos peruanos | Coyuntura ambiental,20 Sep 2025,Mongabay Latam,https://es.mongabay.com/2025/09/tiburones-peligro-fiscalizacion-deficiente-amenaza-supervivencia-peru/,2025-09-20,2025,9,20,15
"“En el 61% de los casos de defensores, la distancia entre la situación de riesgo y la comisaría más cercana es de más de cuatro horas” | PODCAST",20 Sep 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/09/en-el-61-de-los-casos-de-defensores-la-distancia-entre-la-situacion-de-riesgo-y-la-comisaria-mas-cercana-es-de-mas-de-cuatro-horas-podcast/,2025-09-20,2025,9,20,28
"El abordaje del Cambio Climático en Colombia, Perú, Ecuador y Bolivia  | LIBRO",19 Sep 2025,Timothy J. Killeen,https://es.mongabay.com/2025/09/cambio-climatico-colombia-peru-ecuador-bolivia-libro/,2025-09-19,2025,9,19,13
Perú: pueblo indígena shawi se opone a la construcción de una vía ante amenaza de invasión de migrantes,19 Sep 2025,Geraldine Santos,https://es.mongabay.com/2025/09/peru-pueblo-indigena-shawi-se-opone-carretera-amenaza-invasion-migrantes/,2025-09-19,2025,9,19,18
Barcos ilegales arremeten en Perú: un nuevo intento por reabrir el proceso de formalización pesquera podría “blanquearlos”,18 Sep 2025,Michelle Carrere,https://es.mongabay.com/2025/09/barcos-ilegales-peru-intento-reabrir-formalizacion-pesquera/,2025-09-18,2025,9,18,17
¿Cuál es el país con el mayor número de defensores ambientales asesinados en 2024? | PODCAST,17 Sep 2025,Mongabay Latam,https://es.mongabay.com/podcast/2025/09/pais-con-mayor-numero-de-defensores-ambientales-asesinados-2024-podcast/,2025-09-17,2025,9,17,16
Mongabay Latam anuncia becas para un nuevo taller internacional con comunicadores indígenas y periodistas de la Amazonía de Perú,16 Sep 2025,Mongabay Latam,https://es.mongabay.com/2025/09/mongabay-latam-becas-taller-comunicadores-indigenas-periodistas-amazonia-peru/,2025-09-16,2025,9,16,19
En 2024 hubo al menos 120 asesinatos y desapariciones de personas defensoras ambientales en Latinoamérica | INFORME,16 Sep 2025,Gonzalo Ortuño López,https://es.mongabay.com/2025/09/personas-defensoras-ambientales-latinoamerica-2024/,2025-09-16,2025,9,16,17
"“La apertura de una carretera, si no ha sido decidida de manera adecuada, termina generando más perjuicio, más daños a la población” | PODCAST",13 Sep 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/09/apertura-carretera-consulta-previa-perjuicio-poblacion-podcast/,2025-09-13,2025,9,13,24
"«Todas las normativas están hechas para la industria, porque la idea es desaparecer al sector pesquero artesanal» | ENTREVISTA",12 Sep 2025,Astrid Arellano,https://es.mongabay.com/2025/09/desafios-pescadores-artesanales-frente-pesca-industrial-entrevista/,2025-09-12,2025,9,12,19
"Con estrategias propias y reclamos a las autoridades, comunidades indígenas se preparan para enfrentar incendios en la Amazonía peruana",11 Sep 2025,Geraldine Santos,https://es.mongabay.com/2025/09/comunidades-indigenas-incendios-amazonia-peruana/,2025-09-11,2025,9,11,19
Felinos en cautiverio: ¿qué pasa después del rescate del tráfico ilegal,10 Sep 2025,Mongabay Latam,https://es.mongabay.com/specials/2025/09/felinos-cautiverio-trafico-ilegal/,2025-09-10,2025,9,10,11
"Perú: la minería ilegal acecha el área de conservación Panguana, símbolo de la supervivencia en la Amazonía",9 Sep 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/09/mineria-ilegal-acecha-panguana-amazonia-peru/,2025-09-09,2025,9,9,17
Turberas del Abanico del Pastaza: el valor de uno de los reservorios de carbono más grande del mundo ubicado en Perú,9 Sep 2025,Leslie Moreno Custodio,https://es.mongabay.com/2025/09/turberas-abanico-pastaza-reservorios-carbono-peru/,2025-09-09,2025,9,9,21
Los ecosistemas invisibles en la lucha contra la crisis climática,9 Sep 2025,Antonio José Paz Cardona,https://es.mongabay.com/2025/09/ecosistemas-invisibles-lucha-contra-crisis-climatica/,2025-09-09,2025,9,9,10
“El estudio de CINCIA sobre el mercurio nos muestra que es importante no dejar que la minería crezca” | ENTREVISTA,9 Sep 2025,Ana Cristina Alvarado,https://es.mongabay.com/2025/09/estudio-mercurio-mineria-peru-entrevista/,2025-09-09,2025,9,9,20
“En Perú no existe una regulación concreta para uso y manejo del fuego” | PODCAST,6 Sep 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/09/peru-no-existe-regulacion-concreta-para-controlar-incendios/,2025-09-06,2025,9,6,15
Investigación de Mongabay Latam sobre desembarco ilegal de aletas de tiburón llega al Congreso y fiscalía en Perú,5 Sep 2025,Cristina Fernández Aguilar,https://es.mongabay.com/2025/09/investigacion-mongabay-desembarco-ilegal-aletas-tiburon-llega-congreso-fiscalia-peru/,2025-09-05,2025,9,5,18
Día Internacional de las Mujeres Indígenas: tres lideresas que cambian el rumbo de sus comunidades en Latinoamérica,5 Sep 2025,Astrid Arellano,https://es.mongabay.com/2025/09/dia-internacional-mujeres-indigenas-latinoamerica/,2025-09-05,2025,9,5,17
Lonnie Thompson: “Creo que sería un buen momento para convertir el nevado Quelccaya en un parque nacional de Perú” | ENTREVISTA,4 Sep 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/09/lonnie-thompson-convertir-nevado-quelccaya-parque-nacional-peru-entrevista/,2025-09-04,2025,9,4,21
Miembros de pueblo indígena en aislamiento son vistos cerca de puente maderero en Amazonía peruana,2 Sep 2025,Associated Press,https://es.mongabay.com/short-article/2025/09/pueblo-indigena-aislamiento-mashco-piro-visto-puente-maderero-peru/,2025-09-02,2025,9,2,15
Embarcaciones japonesas desembarcaron ilegalmente en Perú más de 17 000 kilos de aletas de tiburón,2 Sep 2025,Cristina Fernández Aguilar,https://es.mongabay.com/2025/09/embarcaciones-japonesas-desembarcaron-ilegalmente-aletas-tiburon-peru/,2025-09-02,2025,9,2,15
“Vamos a formar buenas líderes de pesca para que salgan adelante con todos sus proyectos” | ENTREVISTA,1 Sep 2025,Astrid Arellano,https://es.mongabay.com/2025/09/mujeres-lideres-pesca-peru-entrevista-jenny-pizarro/,2025-09-01,2025,9,1,17
Día Internacional de los Primates: esfuerzos científicos que empoderan a comunidades en Sudamérica para conservar especies y sus ecosistemas,1 Sep 2025,Ana Cristina Alvarado y Gonzalo Ortuño López,https://es.mongabay.com/2025/09/dia-internacional-primates-cientificos-comunidades-sudamerica/,2025-09-01,2025,9,1,19
